id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
67630,respondent_67630,No,Yes,20320.0,4,130,3
67086,respondent_67086,Yes,Yes,34971.99,4,82,0
39484,respondent_39484,Yes,Yes,2221.23,4,52,7
33341,respondent_33341,Yes,Yes,52387.5,2,130,1
66875,respondent_66875,No,Yes,22051.01,2,128,3
34449,respondent_34449,Yes,No,28575.0,4,130,4
84138,respondent_84138,Yes,Yes,0.0,1,111,8
70872,respondent_70872,Yes,Yes,17462.5,4,130,2
8089,respondent_8089,Yes,Yes,762.0,4,35,8
12430,respondent_12430,No,Yes,30469.84,4,7,1
78159,respondent_78159,No,Yes,0.0,1,130,0
90334,respondent_90334,No,Yes,0.0,4,100,4
72275,respondent_72275,No,Yes,25400.0,4,130,8
83551,respondent_83551,Yes,Yes,12025.95,4,21,2
9747,respondent_9747,No,No,1379.22,1,89,6
33014,respondent_33014,Yes,Yes,0.0,1,26,8
45027,respondent_45027,Yes,Yes,127000.0,2,130,2
45743,respondent_45743,Yes,Yes,5349.24,2,17,8
27049,respondent_27049,No,Yes,3976.37,1,50,6
73899,respondent_73899,Yes,No,6134.1,1,100,4
48647,respondent_48647,Yes,Yes,24829.14,2,116,3
13202,respondent_13202,No,Yes,0.0,4,31,3
47897,respondent_47897,No,Yes,29656.09,4,21,8
32040,respondent_32040,No,Yes,17486.31,4,40,0
35864,respondent_35864,No,Yes,8164.83,1,17,0
34594,respondent_34594,Yes,Yes,11559.54,2,70,8
2193,respondent_2193,No,Yes,1689.74,4,50,2
30556,respondent_30556,No,Yes,15722.92,2,21,2
86208,respondent_86208,No,Yes,3497.26,1,64,0
88973,respondent_88973,No,No,15240.0,4,26,0
10132,respondent_10132,No,Yes,12782.87,4,21,8
13708,respondent_13708,No,Yes,34353.5,4,130,0
8375,respondent_8375,Yes,Yes,9525.0,1,11,8
61724,respondent_61724,Yes,Yes,46630.59,2,42,8
19420,respondent_19420,No,Yes,0.0,2,130,8
36798,respondent_36798,No,Yes,13230.54,4,128,4
53768,respondent_53768,No,Yes,45904.15,2,130,4
67130,respondent_67130,Yes,Yes,1588.77,2,85,3
66872,respondent_66872,Yes,No,15435.58,2,128,4
12379,respondent_12379,No,Yes,19429.1,1,54,7
39115,respondent_39115,No,Yes,17895.89,2,21,3
58417,respondent_58417,Yes,Yes,0.0,1,17,4
68048,respondent_68048,No,Yes,4156.71,1,23,1
29603,respondent_29603,No,No,11951.97,2,30,3
6113,respondent_6113,Yes,Yes,39635.43,4,8,8
87427,respondent_87427,Yes,Yes,7204.71,4,58,1
49240,respondent_49240,No,Yes,31115.0,4,130,0
